Country/Territory,Population 2022,Population 2022,Change,Region,SubRegion
World,"8,021,407,192","8,091,734,930",+0.88%,–,–
India,"1,425,423,212","1,438,069,596",+0.89%,Asia,Southern Asia
China[a],"1,425,179,569","1,422,584,933",−0.18%,Asia,Eastern Asia
United States,"341,534,046","343,477,335",+0.57%,Americas,Northern America
Indonesia,"278,830,529","281,190,067",+0.85%,Asia,South-eastern Asia
Pakistan,"243,700,667","247,504,495",+1.56%,Asia,Southern Asia
Nigeria,"223,150,896","227,882,945",+2.12%,Africa,Western Africa
Brazil,"210,306,415","211,140,729",+0.40%,Americas,South America
Bangladesh,"169,384,897","171,466,990",+1.23%,Asia,Southern Asia
Russia,"145,579,899","145,440,500",−0.10%,Europe,Eastern Europe
Mexico,"128,613,117","129,739,759",+0.88%,Americas,Central America
Ethiopia,"125,384,287","128,691,692",+2.64%,Africa,Eastern Africa
Japan,"124,997,578","124,370,947",−0.50%,Asia,Eastern Asia
Philippines,"113,964,338","114,891,199",+0.81%,Asia,South-eastern Asia
Egypt,"112,618,250","114,535,772",+1.70%,Africa,Northern Africa
DR Congo,"102,396,968","105,789,731",+3.31%,Africa,Middle Africa
Vietnam,"99,680,655","100,352,192",+0.67%,Asia,South-eastern Asia
Iran,"89,524,246","90,608,707",+1.21%,Asia,Southern Asia
Turkey,"87,058,473","87,270,501",+0.24%,Asia,Western Asia
Germany,"84,086,227","84,548,231",+0.55%,Europe,Western Europe
Thailand,"71,735,329","71,702,435",−0.05%,Asia,South-eastern Asia
United Kingdom,"68,179,315","68,682,962",+0.74%,Europe,Northern Europe
Tanzania[b],"64,711,821","66,617,606",+2.95%,Africa,Eastern Africa
France[c],"66,277,409","66,438,822",+0.24%,Europe,Western Europe
South Africa,"62,378,410","63,212,384",+1.34%,Africa,Southern Africa
Italy,"59,619,115","59,499,453",−0.20%,Europe,Southern Europe
Kenya,"54,252,461","55,339,003",+2.00%,Africa,Eastern Africa
Myanmar,"53,756,787","54,133,798",+0.70%,Asia,South-eastern Asia
Colombia,"51,737,944","52,321,152",+1.13%,Americas,South America
South Korea,"51,782,512","51,748,739",−0.07%,Asia,Eastern Asia
Sudan,"49,383,346","50,042,791",+1.34%,Africa,Northern Africa
Uganda,"47,312,719","48,656,601",+2.84%,Africa,Eastern Africa
Spain[d],"47,828,382","47,911,579",+0.17%,Europe,Southern Europe
Algeria,"45,477,389","46,164,219",+1.51%,Africa,Northern Africa
Argentina,"45,407,904","45,538,401",+0.29%,Americas,South America
Iraq,"44,070,551","45,074,049",+2.28%,Asia,Western Asia
Afghanistan,"40,578,842","41,454,761",+2.16%,Asia,Southern Asia
Yemen,"38,222,876","39,390,799",+3.06%,Asia,Western Asia
Canada,"38,821,259","39,299,105",+1.23%,Americas,Northern America
Poland,"38,385,739","38,762,844",+0.98%,Europe,Eastern Europe
Ukraine[e],"41,048,766","37,732,836",−8.08%,Europe,Eastern Europe
Morocco,"37,329,064","37,712,505",+1.03%,Africa,Northern Africa
Angola,"35,635,029","36,749,906",+3.13%,Africa,Middle Africa
Uzbekistan,"34,938,955","35,652,307",+2.04%,Asia,Central Asia
Malaysia,"34,695,493","35,126,298",+1.24%,Asia,South-eastern Asia
Peru,"33,475,438","33,845,617",+1.11%,Americas,South America
Ghana,"33,149,152","33,787,914",+1.93%,Africa,Western Africa
Mozambique,"32,656,246","33,635,160",+3.00%,Africa,Eastern Africa
Saudi Arabia,"32,175,352","32,264,292",+0.28%,Asia,Western Asia
Madagascar,"30,437,261","31,195,932",+2.49%,Africa,Eastern Africa
Ivory Coast,"30,395,002","31,165,654",+2.54%,Africa,Western Africa
Nepal,"29,715,436","29,964,614",+0.84%,Asia,Southern Asia
Cameroon,"27,632,771","28,372,687",+2.68%,Africa,Middle Africa
Venezuela,"28,213,017","28,300,854",+0.31%,Americas,South America
Australia[f],"26,200,984","26,451,124",+0.95%,Oceania,Australia and New Zealand
North Korea,"26,329,845","26,418,204",+0.34%,Asia,Eastern Asia
Niger,"25,311,973","26,159,867",+3.35%,Africa,Western Africa
Mali,"23,072,640","23,769,127",+3.02%,Africa,Western Africa
Syria,"22,462,173","23,594,623",+5.04%,Asia,Western Asia
Taiwan[g],"23,420,111","23,317,145",−0.44%,Asia,Eastern Asia
Burkina Faso,"22,509,038","23,025,776",+2.30%,Africa,Western Africa
Sri Lanka,"22,834,965","22,971,617",+0.60%,Asia,Southern Asia
Malawi,"20,568,728","21,104,482",+2.60%,Africa,Eastern Africa
Zambia,"20,152,938","20,723,965",+2.83%,Africa,Eastern Africa
Kazakhstan,"20,034,609","20,330,104",+1.47%,Asia,Central Asia
Chile,"19,553,036","19,658,835",+0.54%,Americas,South America
Chad,"18,455,316","19,319,064",+4.68%,Africa,Middle Africa
Romania,"19,166,772","19,118,479",−0.25%,Europe,Eastern Europe
Somalia[h],"17,801,897","18,358,615",+3.13%,Africa,Eastern Africa
Guatemala,"17,847,877","18,124,838",+1.55%,Americas,Central America
Senegal,"17,651,103","18,077,573",+2.42%,Africa,Western Africa
Netherlands[i],"17,904,421","18,092,524",+1.05%,Europe,Western Europe
Ecuador,"17,823,897","17,980,083",+0.88%,Americas,South America
Cambodia,"17,201,724","17,423,880",+1.29%,Asia,South-eastern Asia
Zimbabwe,"16,069,056","16,340,822",+1.69%,Africa,Eastern Africa
Guinea,"14,055,137","14,405,465",+2.49%,Africa,Western Africa
Benin,"13,759,501","14,111,034",+2.55%,Africa,Western Africa
Rwanda,"13,651,030","13,954,471",+2.22%,Africa,Eastern Africa
Burundi,"13,321,097","13,689,450",+2.77%,Africa,Eastern Africa
Bolivia,"12,077,154","12,244,159",+1.38%,Americas,South America
Tunisia,"12,119,334","12,200,431",+0.67%,Africa,Northern Africa
Belgium,"11,641,820","11,712,893",+0.61%,Europe,Western Europe
Haiti,"11,503,606","11,637,398",+1.16%,Americas,Caribbean
South Sudan,"11,021,177","11,483,374",+4.19%,Africa,Eastern Africa
Jordan,"11,256,263","11,439,213",+1.63%,Asia,Western Asia
Dominican Republic,"11,230,734","11,331,265",+0.90%,Americas,Caribbean
Cuba,"11,059,820","11,019,931",−0.36%,Americas,Caribbean
Czechia,"10,673,213","10,809,716",+1.28%,Europe,Eastern Europe
Honduras,"10,463,872","10,644,851",+1.73%,Americas,Central America
United Arab Emirates,"10,242,086","10,642,081",+3.91%,Asia,Western Asia
Sweden,"10,487,338","10,551,494",+0.61%,Europe,Northern Europe
Portugal[j],"10,417,073","10,430,738",+0.13%,Europe,Southern Europe
Tajikistan,"10,182,222","10,389,799",+2.04%,Asia,Central Asia
Papua New Guinea,"10,203,169","10,389,635",+1.83%,Oceania,Melanesia
Azerbaijan,"10,295,304","10,318,207",+0.22%,Asia,Western Asia
Greece,"10,412,480","10,242,908",−1.63%,Europe,Southern Europe
Hungary,"9,964,306","9,686,463",−2.79%,Europe,Eastern Europe
Togo,"9,089,738","9,304,337",+2.36%,Africa,Western Africa
Israel,"9,103,151","9,256,314",+1.68%,Asia,Western Asia
Austria,"9,064,677","9,130,429",+0.73%,Europe,Western Europe
Belarus,"9,173,237","9,115,680",−0.63%,Europe,Eastern Europe
Switzerland,"8,792,182","8,870,561",+0.89%,Europe,Western Europe
Sierra Leone,"8,276,807","8,460,512",+2.22%,Africa,Western Africa
Laos,"7,559,007","7,664,993",+1.40%,Asia,South-eastern Asia
Hong Kong (China)[k],"7,465,915","7,442,734",−0.31%,Asia,Eastern Asia
Turkmenistan,"7,230,193","7,364,438",+1.86%,Asia,Central Asia
Libya,"7,223,805","7,305,659",+1.13%,Africa,Northern Africa
Kyrgyzstan,"6,955,788","7,073,516",+1.69%,Asia,Central Asia
Paraguay,"6,760,464","6,844,146",+1.24%,Americas,South America
Nicaragua,"6,730,654","6,823,613",+1.38%,Americas,Central America
Bulgaria,"6,825,864","6,795,803",−0.44%,Europe,Eastern Europe
Serbia[l],"6,791,213","6,773,201",−0.27%,Europe,Southern Europe
El Salvador,"6,280,319","6,309,624",+0.47%,Americas,Central America
Congo,"6,035,104","6,182,885",+2.45%,Africa,Middle Africa
Denmark,"5,902,904","5,948,136",+0.77%,Europe,Northern Europe
Singapore,"5,649,885","5,789,090",+2.46%,Asia,South-eastern Asia
Lebanon,"5,744,489","5,733,493",−0.19%,Asia,Western Asia
Finland[m],"5,569,299","5,601,185",+0.57%,Europe,Northern Europe
Norway[n],"5,457,801","5,519,167",+1.12%,Europe,Northern Europe
Slovakia,"5,473,197","5,518,055",+0.82%,Europe,Eastern Europe
Liberia,"5,373,294","5,493,031",+2.23%,Africa,Western Africa
Palestine[o],"5,305,270","5,409,202",+1.96%,Asia,Western Asia
Ireland,"5,110,016","5,196,630",+1.69%,Europe,Northern Europe
New Zealand,"5,131,734","5,172,836",+0.80%,Oceania,Australia and New Zealand
Central African Republic,"5,098,039","5,152,421",+1.07%,Africa,Middle Africa
Costa Rica,"5,081,765","5,105,525",+0.47%,Americas,Central America
Oman,"4,730,226","5,049,269",+6.74%,Asia,Western Asia
